Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
53,1973,SEC,6,6,0,.500,2,5,0,.286,6.94,8.78,13,11,,,,Ralph Jordan (6-6),Sun Bowl (L),
54,1972,SEC,10,1,0,.909,6,1,0,.857,19.16,11.61,,5,5,,,Ralph Jordan (10-1),Gator Bowl (W),
55,1971,SEC,9,2,0,.818,5,1,0,.833,18.69,8.42,6,4,12,,,Ralph Jordan (9-2),Sugar Bowl (L),
56,1970,SEC,9,2,0,.818,5,2,0,.714,21.31,8.77,20,6,10,,,Ralph Jordan (9-2),Gator Bowl (W),
57,1969,SEC,8,3,0,.727,5,2,0,.714,17.57,7.75,20,11,20,,,Ralph Jordan (8-3),Bluebonnet Bowl (L),
58,1968,SEC,7,4,0,.636,4,2,0,.667,16.02,7.93,,12,16,,,Ralph Jordan (7-4),Sun Bowl (W),
59,1967,SEC,6,4,0,.600,3,3,0,.500,14.12,6.72,,,,,,Ralph Jordan (6-4),,
60,1966,SEC,4,6,0,.400,1,5,0,.167,2.71,7.21,,,,,,Ralph Jordan (4-6),,
61,1965,SEC,5,5,1,.500,4,1,1,.750,11.13,11.04,,,,,,Ralph Jordan (5-5-1),Liberty Bowl (L),
62,1964,SEC,6,4,0,.600,3,3,0,.500,8.09,5.39,8,7,,,,Ralph Jordan (6-4),,
63,1963,SEC,9,2,0,.818,6,1,0,.857,15.47,7.65,,5,5,,,Ralph Jordan (9-2),Orange Bowl (L),
64,1962,SEC,6,3,1,.650,4,3,0,.571,7.29,6.29,,10,,,,Ralph Jordan (6-3-1),,
65,1961,SEC,6,4,0,.600,3,4,0,.429,9.47,6.07,,,,,,Ralph Jordan (6-4),,
66,1960,SEC,8,2,0,.800,5,2,0,.714,14.35,6.75,12,8,13,,,Ralph Jordan (8-2),,
67,1959,SEC,7,3,0,.700,4,3,0,.571,14.30,4.60,3,3,,,,Ralph Jordan (7-3),,
68,1958,SEC,9,0,1,.950,6,0,1,.929,14.05,2.25,5,1,4,,,Ralph Jordan (9-0-1),,
69,1957,SEC,10,0,0,1.000,7,0,0,1.000,17.63,3.33,15,1,1,,,Ralph Jordan (10-0),,National Championships: AP
70,1956,SEC,7,3,0,.700,4,3,0,.571,11.65,7.45,,,,,,Ralph Jordan (7-3),,
71,1955,SEC,8,2,1,.773,5,1,1,.786,9.49,1.67,17,8,8,,,Ralph Jordan (8-2-1),Gator Bowl (L),
72,1954,SEC,8,3,0,.727,3,3,0,.500,17.69,4.33,,13,13,,,Ralph Jordan (8-3),Gator Bowl (W),
73,1953,SEC,7,3,1,.682,4,2,1,.643,9.59,3.13,,14,17,,,Ralph Jordan (7-3-1),Gator Bowl (L),
74,1952,SEC,2,8,0,.200,0,7,0,.000,0.58,8.68,,,,,,Ralph Jordan (2-8),,
75,1951,SEC,5,5,0,.500,3,4,0,.429,-0.57,2.63,,,,,,Ralph Jordan (5-5),,
76,1950,SEC,0,10,0,.000,0,7,0,.000,-15.71,2.39,,,,,,Earl Brown (0-10),,
77,1949,SEC,2,4,3,.389,2,4,2,.375,-2.74,1.59,,,,,,Earl Brown (2-4-3),,
78,1948,SEC,1,8,1,.150,0,7,0,.000,-7.59,6.21,,,,,,Earl Brown (1-8-1),,
79,1947,SEC,2,7,0,.222,1,5,0,.167,-10.93,0.85,,,,,,Carl Voyles (2-7),,
80,1946,SEC,4,6,0,.400,1,5,0,.167,-0.65,4.25,,,,,,Carl Voyles (4-6),,
81,1945,SEC,5,5,0,.500,2,3,0,.400,-0.78,-1.78,,,,,,Carl Voyles (5-5),,
82,1944,SEC,4,4,0,.500,0,4,0,.000,0.46,-1.04,,,,,,Carl Voyles (4-4),,
83,1942,SEC,6,4,1,.591,3,3,0,.500,10.60,7.14,,16,16,,,Jack Meagher (6-4-1),,
84,1941,SEC,4,5,1,.450,0,4,1,.100,4.48,3.88,,,,,,Jack Meagher (4-5-1),,
85,1940,SEC,6,4,1,.591,3,2,1,.583,7.13,5.49,,,,,,Jack Meagher (6-4-1),,
86,1939,SEC,5,5,1,.500,3,3,1,.500,6.92,6.73,,,,,,Jack Meagher (5-5-1),,
87,1938,SEC,4,5,1,.450,3,3,1,.500,4.42,3.32,,,,,,Jack Meagher (4-5-1),,
88,1937,SEC,6,2,3,.682,4,1,2,.714,16.02,8.38,,12,,,,Jack Meagher (6-2-3),Orange Bowl (W),
89,1936,SEC,7,2,2,.727,4,1,1,.750,11.69,5.87,,16,,,,Jack Meagher (7-2-2),Bacardi Bowl (T),
90,1935,SEC,8,2,0,.800,5,2,0,.714,17.53,5.03,,,,,,Jack Meagher (8-2),,
91,1934,SEC,2,8,0,.200,1,6,0,.143,-2.41,3.10,,,,,,Jack Meagher (2-8),,
92,1933,SEC,5,5,0,.500,2,2,0,.500,4.85,2.45,,,,,,Chet Wynne (5-5),,
93,1932,Southern,9,0,1,.950,6,0,1,.929,12.39,-0.71,,,,,,Chet Wynne (9-0-1),,
94,1931,Southern,5,3,1,.611,3,3,0,.500,6.45,2.90,,,,,,Chet Wynne (5-3-1),,
95,1930,Southern,3,7,0,.300,1,6,0,.143,-4.27,-0.07,,,,,,Chet Wynne (3-7),,
96,1929,Southern,2,7,0,.222,0,7,0,.000,-10.01,4.77,,,,,,George Bohler (2-3) Red Floyd (0-4),,
97,1928,Southern,1,8,0,.111,0,7,0,.000,-7.04,3.51,,,,,,George Bohler (1-8),,
98,1927,Southern,0,7,2,.111,0,6,1,.071,-9.47,1.20,,,,,,David Morey (0-3) Boozer Pitts (0-4-2),,
99,1926,Southern,5,4,0,.556,3,3,0,.500,-1.35,-3.46,,,,,,David Morey (5-4),,
100,1925,Southern,5,3,1,.611,3,2,1,.583,1.94,2.16,,,,,,David Morey (5-3-1),,
101,1924,Southern,4,4,1,.500,2,4,1,.357,4.01,3.01,,,,,,Boozer Pitts (4-4-1),,
102,1923,Southern,3,3,3,.500,0,1,3,.375,4.27,1.83,,,,,,Boozer Pitts (3-3-3),,
103,1922,Southern,8,2,0,.800,2,1,0,.667,14.20,2.10,,,,,,Mike Donahue (8-2),,
104,1921,Southern,5,3,0,.625,1,2,0,.333,10.88,4.51,,,,,,Mike Donahue (5-3),,
105,1920,Ind,7,2,0,.778,,,,,17.47,3.92,,,,,,Mike Donahue (7-2),,
106,1919,Ind,8,1,0,.889,,,,,12.00,3.11,,,,,,Mike Donahue (8-1),,
107,1918,Ind,2,5,0,.286,,,,,-8.19,-1.47,,,,,,Mike Donahue (2-5),,
108,1917,Ind,6,2,1,.722,,,,,12.57,5.79,,,,,,Mike Donahue (6-2-1),,
109,1916,Ind,6,2,0,.750,,,,,9.72,0.85,,,,,,Mike Donahue (6-2),,
110,1915,Ind,6,2,0,.750,,,,,15.37,5.24,,,,,,Mike Donahue (6-2),,
111,1914,Ind,8,0,1,.944,,,,,16.68,1.23,,,,,,Mike Donahue (8-0-1),,
112,1913,Ind,8,0,0,1.000,,,,,26.24,8.61,,,,,,Mike Donahue (8-0),,
113,1912,Ind,6,1,1,.813,,,,,19.87,9.12,,,,,,Mike Donahue (6-1-1),,
114,1911,Ind,4,2,1,.643,,,,,13.04,8.90,,,,,,Mike Donahue (4-2-1),,
115,1910,Ind,6,1,0,.857,,,,,18.90,4.19,,,,,,Mike Donahue (6-1),,
116,1909,Ind,5,2,0,.714,,,,,10.15,3.01,,,,,,Mike Donahue (5-2),,
117,1908,Ind,6,1,0,.857,,,,,16.69,0.83,,,,,,Mike Donahue (6-1),,
118,1907,Ind,6,2,1,.722,,,,,9.89,-1.22,,,,,,William Kienholz (6-2-1),,
119,1906,Ind,1,5,1,.214,,,,,-3.67,0.19,,,,,,Mike Donahue (1-5-1),,
120,1905,Ind,2,4,0,.333,,,,,-7.00,-3.00,,,,,,Mike Donahue (2-4),,
121,1904,Ind,6,0,0,1.000,,,,,18.24,3.58,,,,,,Mike Donahue (5-0),,
122,1903,Ind,4,3,0,.571,,,,,-2.21,-5.36,,,,,,Billy Bates (4-3),,
123,1902,Ind,2,4,1,.357,,,,,0.88,1.17,,,,,,Robert Kent (2-2-1) M.H. Harvey (0-2),,
